Word,cgram,freqfilms2,islem,puorth
abaca,NOM,0.01,1,4
abats,NOM,0.52,0,0
abats,VER,1.79,0,0
abbés,NOM,0.02,0,0
abcès,NOM,1.79,1,4
abdos,NOM,0.86,1,5
aboie,VER,2.91,0,0
abois,NOM,0.78,0,0
aboli,ADJ,0.02,1,5
aboli,VER,1.1,0,5
abord,NOM,0.89,1,5
about,NOM,5.94,1,5
aboya,VER,0,0,0
aboyé,VER,0.28,0,0
abris,NOM,3.2,0,0
abusa,VER,0.02,0,0
abuse,VER,4.08,0,0
abusé,VER,4.59,0,5
abusé,ADJ,0.1,1,5
abyme,NOM,0.04,1,4
abêti,ADJ,0,1,5
abêti,VER,0,0,5
abîma,VER,0.1,0,0
abîme,NOM,5.03,1,5
abîme,VER,2.21,0,5
abîmé,VER,3.57,0,0
accro,ADJ,6.22,1,5
accro,NOM,1.66,1,5
accru,VER,0.39,0,5
accru,ADJ,0.24,1,5
accus,NOM,0.11,0,0
accès,NOM,29.53,1,4
achat,NOM,5.2,1,5
aches,NOM,0,0,0
acide,ADJ,1.86,1,5
acide,NOM,8.44,1,5
acier,NOM,13.85,1,4
acnés,NOM,0,0,0
acres,NOM,0.56,0,0
actes,NOM,17.62,0,0
actif,ADJ,4.12,1,5
actif,NOM,0.84,1,5
acéré,VER,0.01,0,5
acéré,ADJ,0.14,1,5
adage,NOM,0.61,1,5
adent,NOM,0.01,1,4
adieu,NOM,36.86,1,4
adieu,ONO,39.7,1,4
adira,VER,0.16,0,0
adjas,NOM,0,0,0
admet,VER,2.83,0,0
admis,VER,6.74,0,5
admis,ADJ,0.77,1,5
admis,NOM,0.12,1,5
admit,VER,0.24,0,0
admît,VER,0,0,0
adobe,NOM,0.08,1,4
adonc,ADV,0,1,5
adora,VER,0.06,0,0
adore,VER,121.69,0,0
adoré,VER,12.81,0,0
adret,NOM,0,1,5
adulé,VER,0.09,0,0
affin,ADJ,0.02,1,5
affût,NOM,1.36,1,5
agace,NOM,0.03,1,5
agace,VER,2.3,0,5
agacé,VER,0.74,0,0
agami,NOM,0,1,5
agape,NOM,0,1,5
agate,NOM,0.01,1,5
agave,NOM,0,1,4
agaça,VER,0,0,0
agent,NOM,92.42,1,5
agglo,NOM,0,1,5
aghas,NOM,0,0,0
agile,ADJ,1.69,1,5
agios,NOM,0.17,0,0
agira,VER,1.25,0,0
agita,VER,0.06,0,0
agite,VER,3.51,0,0
agité,VER,1.72,0,5
agité,ADJ,2.9,1,5
agité,NOM,0.2,1,5
agnat,NOM,0.03,1,5
agora,NOM,0.03,1,5
agrès,NOM,0.24,1,4
agréa,VER,0.14,0,0
agrée,VER,0.07,0,0
agrég,NOM,0.14,1,5
agréé,VER,0.22,0,5
agréé,ADJ,0.14,1,5
agréé,NOM,0,1,5
ahana,VER,0,0,0
ahane,VER,0.01,0,0
ahans,NOM,0,0,0
ahané,VER,0,0,0
ahuri,ADJ,0.34,1,5
ahuri,NOM,0.37,1,5
ahuri,VER,0.29,0,5
aidai,VER,0.03,0,0
aider,VER,362.77,1,5
aides,NOM,4.18,0,0
aides,VER,19.22,0,0
aidez,VER,64.36,0,0
aidât,VER,0,0,0
aidée,VER,8.64,0,0
aidés,VER,5.13,0,0
aient,AUX,12.67,0,0
aient,VER,8.19,0,0
aigle,NOM,5.5,1,5
aigre,ADJ,0.42,1,5
aigre,NOM,0.21,1,5
aigri,ADJ,0.79,1,5
aigri,NOM,0.2,1,5
aigri,VER,0.41,0,5
aigue,VER,0.17,0,0
aigus,ADJ,0.31,0,0
aigus,NOM,0.2,0,0
aiguë,ADJ,2.75,0,0
ailes,NOM,18.45,0,0
aille,VER,89.81,0,0
aillé,VER,0.01,0,0
ailée,VER,0.16,0,0
ailée,ADJ,0.13,0,0
ailés,VER,0.01,0,0
ailés,ADJ,0.29,0,0
aimai,VER,0.2,0,0
aimer,VER,90.44,1,5
aimes,VER,170.38,0,0
aimez,VER,62.25,0,0
aimât,VER,0.1,0,0
aimée,VER,12.66,0,0
aimée,ADJ,3.91,0,0
aimés,VER,3.94,0,0
aimés,ADJ,0.5,0,0
aines,NOM,0,0,0
ainsi,ADV,207.68,1,5
aires,NOM,0.99,0,0
aises,ADJ,0,0,0
aises,NOM,1.09,0,0
aisée,ADJ,1.04,0,0
aisés,ADJ,0.33,0,0
ajonc,NOM,0,1,4
ajout,NOM,0.73,1,5
alain,NOM,0.14,1,5
album,NOM,9.36,1,5
aldol,NOM,0.05,1,4
aleph,NOM,0.05,1,4
alfas,NOM,0,0,0
algie,NOM,0.27,1,4
algue,NOM,0.29,1,4
alias,ADV,5.45,1,4
alibi,NOM,10.28,1,4
alise,NOM,0.01,1,5
alita,VER,0.01,0,0
alité,VER,0.55,0,0
alizé,ADJ,0,1,4
alizé,NOM,0.1,1,4
allai,VER,1.12,0,0
allas,VER,0,0,0
aller,NOM,17.21,1,5
aller,VER,816.76,1,5
allez,NOM,0,0,0
allez,VER,1414.85,0,0
allia,VER,0.01,0,0
allie,VER,1.15,0,0
allié,VER,0.79,0,5
allié,ADJ,0.39,1,5
allié,NOM,2.4,1,5
alloc,NOM,0.18,1,5
allât,VER,0.01,0,0
allée,VER,52.93,0,5
allée,NOM,9.89,1,5
allés,VER,26.37,0,0
almée,NOM,0,1,4
alors,ADV,1777.65,1,4
alose,NOM,0.04,1,4
aloès,NOM,0.23,1,4
alpes,NOM,0.14,0,0
alpha,NOM,2.09,1,5
alpin,ADJ,0.18,1,5
alter,ADV,0,1,5
altos,NOM,0.1,0,0
aluni,VER,0.06,0,0
alvar,NOM,0.05,1,4
alvin,ADJ,0.12,1,4
alène,NOM,0.24,1,4
alèse,NOM,0.01,1,4
alèze,NOM,0,1,4
aléas,NOM,0.32,0,0
amant,NOM,23.28,1,5
amaro,NOM,2.02,1,5
amati,VER,0,0,0
amble,NOM,0.3,1,5
ambon,NOM,0,1,5
ambre,NOM,0.93,1,5
ambré,VER,0,0,5
ambré,ADJ,0.01,1,5
amena,VER,0.74,0,0
amené,VER,38.14,0,0
amers,ADJ,1.25,0,0
amers,NOM,0,0,0
amibe,NOM,0.27,1,5
amies,ADJ,5.57,0,0
amies,NOM,20.88,0,0
amigo,NOM,4.75,1,5
amine,NOM,0.01,1,5
aminé,ADJ,0.04,1,5
amish,ADJ,0.14,1,4
amont,ADJ,0.01,1,5
amont,NOM,1.4,1,5
amour,NOM,450.46,1,5
amphi,NOM,0.29,1,5
ample,ADJ,0.82,1,5
ampli,NOM,0.74,1,5
amura,VER,0.03,0,0
amure,NOM,0,1,5
amusa,VER,0.11,0,0
amuse,VER,39.85,0,0
amusé,VER,6.99,0,0
amyle,NOM,0.02,1,5
amène,VER,59.8,0,4
amène,ADJ,0.81,1,4
amère,ADJ,3.65,0,0
anale,ADJ,0.35,0,0
anars,NOM,0,0,0
anaux,ADJ,0.16,0,0
anche,NOM,0.17,1,5
ancra,VER,0.1,0,0
ancre,NOM,4.63,1,5
ancre,VER,0.17,0,5
ancré,VER,0.64,0,5
ancré,ADJ,0.11,1,5
aneth,NOM,0.07,1,4
anges,NOM,21.38,0,0
angle,NOM,11.56,1,5
angon,NOM,0,1,5
angor,NOM,0.01,1,5
anima,VER,0.29,0,0
anime,VER,1.82,0,0
animé,VER,1.37,0,5
animé,ADJ,2.79,1,5
anise,VER,0.1,0,0
anisé,VER,0,0,5
anisé,NOM,0,1,5
anniv,NOM,0.26,1,5
année,NOM,129.64,1,5
anode,NOM,0.02,1,5
anses,NOM,0.14,0,0
ansée,ADJ,0.01,0,0
antan,NOM,1.53,1,5
antre,NOM,2.96,1,4
aorte,NOM,1.16,1,5
aouls,NOM,0,0,0
apion,NOM,0,1,4
aplat,NOM,0,1,5
apnée,NOM,0.6,1,3
appas,NOM,0.4,1,5
appel,NOM,80.88,1,5
appui,NOM,7.83,1,5
appât,NOM,5.97,1,5
aprèm,NOM,0.22,1,5
après,ADV,193.68,1,5
après,PRE,593.92,1,5
aptes,ADJ,1.16,0,0
apuré,VER,0,0,0
apâli,VER,0,0,0
apéro,NOM,0.61,1,5
arabe,ADJ,6.29,1,5
arabe,NOM,6.71,1,5
arbis,NOM,0,0,0
arbre,NOM,49.29,1,5
arcan,NOM,0,1,5
arche,NOM,2.83,1,5
archi,NOM,0.75,1,5
arder,VER,0.11,1,5
ardin,NOM,0.01,1,5
ardre,VER,0,1,4
ardue,ADJ,0.61,0,0
ardus,ADJ,0.14,0,0
argol,NOM,0,1,5
argon,NOM,0.38,1,5
argot,NOM,1.06,1,5
argua,VER,0,0,0
argue,VER,0.11,0,0
argus,NOM,0.09,1,5
argué,VER,0.02,0,0
arias,NOM,0.33,0,0
aride,ADJ,1.17,1,5
arien,ADJ,0.29,1,5
arien,NOM,0,1,5
armai,VER,0,0,0
armer,VER,1.33,1,5
armes,NOM,105.82,0,0
armes,VER,0.51,0,0
armez,VER,2.68,0,0
armon,NOM,0.01,1,5
armât,VER,0,0,0
armée,VER,2.56,0,5
armée,ADJ,7.78,0,5
armée,NOM,93.97,1,5
armés,VER,6.7,0,0
armés,ADJ,5.25,0,0
arqua,VER,0,0,0
arque,VER,0,0,0
arqué,VER,0,0,5
arqué,ADJ,0.02,1,5
arroi,NOM,0,1,5
arrêt,NOM,46.8,1,5
arums,NOM,0.07,0,0
aryen,ADJ,0.22,1,5
aryen,NOM,0.02,1,5
arçon,NOM,0.01,1,3
arène,NOM,2.25,1,3
